LinkID,111_IN,111_OUT,112_IN,112_OUT,121_IN,121_OUT,285_IN,285_OUT,286_IN,286_OUT,287_IN,287_OUT,288_IN,288_OUT,289_IN,289_OUT,290_IN,290_OUT,291_IN,291_OUT,292_IN,292_OUT,293_IN,293_OUT,299_IN,299_OUT,300_IN,300_OUT,301_IN,301_OUT,303_IN,303_OUT,5001_IN,5001_OUT,5002_IN,5002_OUT,5003_IN,5003_OUT,5004_IN,5004_OUT,5005_IN,5005_OUT,5006_IN,5006_OUT,5007_IN,5007_OUT,5009_IN,5009_OUT,5010_IN,5010_OUT,5011_IN,5011_OUT,5012_IN,5012_OUT,5013_IN,5013_OUT,5015_IN,5015_OUT,5016_IN,5016_OUT,5017_IN,5017_OUT,5021_OUT,5023_IN,5023_OUT,5025_OUT,5026_IN,5026_OUT,5027_IN,5027_OUT,5028_IN,5028_OUT,5031_IN,5031_OUT,5032_IN,5032_OUT,5034_IN,5034_OUT,5035_IN,5035_OUT,5036_IN,5036_OUT,5038_IN,5038_OUT,5040_IN,5040_OUT,5041_IN,5041_OUT,5042_IN,5042_OUT,5043_IN,5043_OUT,5044_IN,5044_OUT,5045_IN,5046_IN,9712_IN,9712_OUT
10016-13441,0.0,0.0,0.000307689537294209,0.0,0.0003077424189541489,0.0,0.6704859173914883,0.0,1.3494560718536377,0.0,1.3494560718536377,0.0,1.3494560718536377,0.0,1.3494560718536377,0.0,1.3494560718536377,0.0,1.3494560718536377,0.0,1.3494560718536377,0.0,1.3494560718536377,0.0,0.6747280359268188,1.7844619750976562,1.3494560718536377,3.5689239501953125,1.0120920538902283,2.6766929626464844,1.0120920538902283,2.6766929626464844,0.5108543634414673,0.8922309875488281,0.5108543634414673,0.8922309875488281,0.5108543634414673,0.8922309875488281,0.5108543634414673,0.8922309875488281,0.5108543634414673,0.8922309875488281,0.5108543634414673,0.8922309875488281,0.5108543634414673,0.8922309875488281,0.5108543634414673,0.8922309875488281,0.5108543634414673,0.8922309875488281,0.5108543634414673,0.8922309875488281,0.5108543634414673,0.8922309875488281,0.5108543634414673,0.8922309875488281,0.9229973554611206,0.8922309875488281,0.9229973554611206,0.8922309875488281,0.9229973554611206,0.8922309875488281,0.8922309875488281,0.9229973554611206,0.8922309875488281,0.8922309875488281,0.9229973554611206,0.8922309875488281,0.9239485263824463,0.8922309875488281,0.9239485263824463,0.8922309875488281,0.9239485263824463,0.8922309875488281,0.9239485263824463,0.8922309875488281,0.9239485263824463,0.8922309875488281,0.9239485263824463,0.8922309875488281,0.9239485263824463,0.8922309875488281,0.9239485263824463,0.9239485859870911,0.9239485263824463,0.9239485859870911,0.9239485859870911,0.9239485859870911,0.9239485859870911,0.9239485859870911,0.9239485859870911,0.9239485859870911,0.9239485859870911,0.9239485859870911,0.9239485859870911,0.9239485859870911,1.8478971719741821,1.8478971719741821
10016-299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10016-5038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10017-10785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10017-13441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10017-13444,0.0,0.0,0.04241517558693886,0.0,0.048269156366586685,0.0,12.506160620599985,0.0,25.08435821533203,0.0,25.08435821533203,0.0,25.08435821533203,0.0,25.08435821533203,0.0,25.08435821533203,0.0,25.08435821533203,0.0,25.08435821533203,0.0,25.08435821533203,0.0,12.542179107666016,1.7844619750976562,25.08435821533203,3.5689239501953125,18.813268661499023,2.6766929626464844,18.813268661499023,2.6766929626464844,6.7115559577941895,0.8922309875488281,6.7115559577941895,0.8922309875488281,6.7115559577941895,0.8922309875488281,6.7115559577941895,0.8922309875488281,6.7115559577941895,0.8922309875488281,6.7115559577941895,0.8922309875488281,6.7115559577941895,0.8922309875488281,6.7115559577941895,0.8922309875488281,6.7115559577941895,0.8922309875488281,6.7115559577941895,0.8922309875488281,6.7115559577941895,0.8922309875488281,6.7115559577941895,0.8922309875488281,10.852263450622559,0.8922309875488281,10.852263450622559,10.825980186462402,10.852263450622559,10.825980186462402,10.825980186462402,10.852263450622559,10.825980186462402,10.825980186462402,10.852263450622559,10.825980186462402,10.857697486877441,10.825980186462402,10.857697486877441,10.825980186462402,10.857697486877441,10.825980186462402,10.857697486877441,10.825980186462402,10.857697486877441,10.825980186462402,10.857697486877441,10.825980186462402,10.857697486877441,10.825980186462402,10.857697486877441,10.857697486877441,10.857697486877441,10.857697486877441,10.857697486877441,10.857697486877441,10.857697486877441,10.857697486877441,10.857697486877441,10.857697486877441,10.857697486877441,10.857697486877441,10.857697486877441,10.857697486877441,21.715394973754883,21.715394973754883
10017-14307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10018-12331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10018-12699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10018-13918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
